in:location,in:Orientation,in:ObstructAngle,in:Width,in:Depth,in:Ceiling Height,in:Wall Thickness,in:Window Width,in:Window Bottom Sill,in:Window Top Sill,in:Spacing Between Windows,in:WWR,in:Ceiling Reflectance,in:Wall Reflectance,in:Floor Reflectance,in:Shade Trigger Distance (1000 direct),out:sDA100,out:sDA200,out:sDA300,out:sDA500,out:sDA2000,out:D100,out:D200,out:D300,out:D500,out:D2000,out:cDArm,out:UDIrm
 PH,0,0,40,40,9,0.5,4,2.5,8.7,1,0.482222222,80,60,20,1,1,0.769,0.59,0.436,0.128,39.5,30.5,23.5,17.5,5.5,0.723,0.683
 SC,90,0,40,50,9,1.5,2,2.5,8.7,1,0.413333333,80,60,20,1,0.429,0.245,0.184,0.082,0,21.5,12.5,9.5,4.5,0.5,0.342,0.345
 SC,0,20,40,40,12,1.5,2,2.5,11.7,4,0.23,80,60,20,1,0.41,0.282,0.179,0.103,0,16.5,11.5,7.5,4.5,0.5,0.367,0.356
 PH,180,20,40,40,12,1,2,2.5,11.7,4,0.23,80,60,20,1,0.923,0.462,0.308,0.103,0,36.5,18.5,12.5,4.5,0.5,0.611,0.776
 PH,270,20,40,40,9,1.5,4,2.5,8.7,1,0.482222222,80,60,20,1,0.769,0.538,0.436,0.308,0,30.5,21.5,17.5,12.5,0.5,0.545,0.561
 PH,90,20,40,50,9,0.5,3,0.3,8.7,3,0.42,80,60,20,5,0.51,0.347,0.245,0.122,0,25.5,17.5,12.5,6.5,0.5,0.372,0.379
 PH,270,20,40,40,10,1,4,0.3,9.7,2,0.564,80,60,20,5,1,0.641,0.487,0.333,0,39.5,25.5,19.5,13.5,0.5,0.701,0.758
 PH,90,0,40,30,12,1.5,2,2.5,11.7,4,0.23,80,60,20,1,1,0.379,0.138,0.034,0,29.5,11.5,4.5,1.5,0.5,0.494,0.578
 PH,180,0,40,50,9,1.5,1,2.5,8.7,2,0.223888889,80,60,20,5,0.265,0.082,0,0,0,13.5,4.5,0.5,0.5,0.5,0.245,0.241
 PH,180,20,40,30,10,0.5,2,2.5,9.7,3,0.252,80,60,20,1,1,0.621,0.448,0.207,0,29.5,18.5,13.5,6.5,0.5,0.735,0.881
 PH,180,20,40,40,10,0.5,2,2.5,9.7,3,0.252,80,60,20,1,0.667,0.436,0.308,0.154,0,26.5,17.5,12.5,6.5,0.5,0.58,0.702
 PH,0,0,40,50,9,1.5,1,2.5,8.7,3,0.155,80,60,20,5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.141,0.131
 PH,180,20,40,50,9,0.5,3,2.5,8.7,3,0.31,80,60,20,5,0.531,0.367,0.265,0.163,0,26.5,18.5,13.5,8.5,0.5,0.484,0.491
 PH,90,40,40,30,12,1,1,2.5,11.7,1,0.364166667,80,60,20,1,1,0.448,0.276,0,0,29.5,13.5,8.5,0.5,0.5,0.576,0.72
 PH,180,0,40,30,12,1.5,1,0.3,11.7,1,0.45125,80,60,20,1,1,0.862,0.379,0,0,29.5,25.5,11.5,0.5,0.5,0.772,0.923
 PH,270,20,40,40,12,1.5,4,0.3,11.7,4,0.38,80,60,20,5,1,0.974,0.59,0.359,0,39.5,38.5,23.5,14.5,0.5,0.758,0.782
 SC,180,20,40,50,10,1,3,0.3,9.7,3,0.423,80,60,20,1,0.49,0.347,0.245,0.143,0,24.5,17.5,12.5,7.5,0.5,0.465,0.502
 SC,90,0,40,40,12,0.5,3,0.3,11.7,4,0.35625,80,60,20,5,0.949,0.487,0.333,0.179,0,37.5,19.5,13.5,7.5,0.5,0.545,0.618
 PH,180,20,40,30,10,1.5,4,0.3,9.7,3,0.47,80,60,20,1,1,1,0.655,0.31,0,29.5,29.5,19.5,9.5,0.5,0.86,0.933
 PH,270,20,40,50,9,0.5,1,2.5,8.7,3,0.155,80,60,20,5,0.388,0.224,0.143,0,0,19.5,11.5,7.5,0.5,0.5,0.33,0.325
 SC,90,20,40,50,10,0.5,4,0.3,9.7,4,0.376,80,60,20,5,0.51,0.367,0.286,0.204,0.02,25.5,18.5,14.5,10.5,1.5,0.493,0.462
 PH,270,0,40,40,9,1.5,4,2.5,8.7,2,0.413333333,80,60,20,1,0.462,0.282,0.179,0.077,0,18.5,11.5,7.5,3.5,0.5,0.451,0.508
 PH,0,0,40,50,9,1,1,0.3,8.7,1,0.443333333,80,60,20,5,0.102,0,0,0,0,5.5,0.5,0.5,0.5,0.5,0.23,0.224
 PH,180,40,40,50,10,0.5,3,0.3,9.7,3,0.423,80,60,20,1,0.612,0.408,0.306,0.184,0,30.5,20.5,15.5,9.5,0.5,0.533,0.602
 PH,0,0,40,30,12,1,4,0.3,11.7,4,0.38,80,60,20,5,1,1,1,0.552,0.034,29.5,29.5,29.5,16.5,1.5,0.808,0.785
 SC,90,20,40,40,12,0.5,1,2.5,11.7,3,0.1725,80,60,20,5,0.538,0.359,0.231,0.026,0,21.5,14.5,9.5,1.5,0.5,0.479,0.505
 PH,90,0,40,40,10,1,3,2.5,9.7,2,0.378,80,60,20,5,1,0.513,0.359,0.179,0,39.5,20.5,14.5,7.5,0.5,0.532,0.618
 SC,180,0,40,30,12,1,3,0.3,11.7,3,0.4275,80,60,20,1,1,1,0.655,0.379,0,29.5,29.5,19.5,11.5,0.5,0.843,0.894
 SC,0,40,40,30,10,1.5,4,0.3,9.7,1,0.658,80,60,20,1,0.655,0.345,0.276,0.172,0,19.5,10.5,8.5,5.5,0.5,0.565,0.625
 PH,90,0,40,50,12,0.5,4,2.5,11.7,1,0.536666667,80,60,20,5,1,0.653,0.469,0.327,0,49.5,32.5,23.5,16.5,0.5,0.58,0.594
 PH,180,20,40,50,9,1.5,1,2.5,8.7,3,0.155,80,60,20,1,0.204,0,0,0,0,10.5,0.5,0.5,0.5,0.5,0.164,0.154
 PH,90,40,40,30,12,0.5,2,2.5,11.7,1,0.46,80,60,20,5,1,1,0.828,0.552,0,29.5,29.5,24.5,16.5,0.5,0.859,0.824
 PH,270,0,40,30,9,0.5,2,2.5,8.7,2,0.31,80,60,20,5,1,0.483,0.345,0.207,0,29.5,14.5,10.5,6.5,0.5,0.618,0.69
 PH,0,20,40,30,10,1,3,0.3,9.7,1,0.6345,80,60,20,1,1,1,0.724,0.517,0.034,29.5,29.5,21.5,15.5,1.5,0.754,0.676
 SC,180,0,40,40,12,1.5,3,0.3,11.7,4,0.35625,80,60,20,1,1,0.487,0.308,0.103,0,39.5,19.5,12.5,4.5,0.5,0.639,0.795
 SC,270,20,40,50,12,1,1,2.5,11.7,2,0.249166667,80,60,20,5,0.306,0.163,0.082,0,0,15.5,8.5,4.5,0.5,0.5,0.307,0.301
 SC,0,40,40,30,10,0.5,4,0.3,9.7,1,0.658,80,60,20,5,0.724,0.379,0.31,0.207,0,21.5,11.5,9.5,6.5,0.5,0.584,0.637
 PH,270,0,40,30,12,1.5,1,0.3,11.7,2,0.30875,80,60,20,5,0.414,0,0,0,0,12.5,0.5,0.5,0.5,0.5,0.376,0.465
 SC,270,20,40,50,12,1.5,2,0.3,11.7,3,0.3325,80,60,20,5,0.469,0.306,0.204,0.061,0,23.5,15.5,10.5,3.5,0.5,0.405,0.407
 SC,180,0,40,30,9,1.5,2,2.5,8.7,1,0.413333333,80,60,20,5,1,0.552,0.379,0.207,0,29.5,16.5,11.5,6.5,0.5,0.681,0.825
 PH,0,0,40,40,9,1,3,2.5,8.7,3,0.31,80,60,20,1,0.949,0.513,0.41,0.282,0.026,37.5,20.5,16.5,11.5,1.5,0.578,0.651
 SC,0,20,40,30,12,1,3,0.3,11.7,3,0.4275,80,60,20,1,0.69,0.483,0.31,0.207,0,20.5,14.5,9.5,6.5,0.5,0.554,0.613
 SC,180,40,40,50,9,1.5,3,2.5,8.7,4,0.258333333,80,60,20,5,0.347,0.184,0.122,0,0,17.5,9.5,6.5,0.5,0.5,0.328,0.33
 SC,270,0,40,40,12,1,3,2.5,11.7,3,0.345,80,60,20,5,0.974,0.487,0.333,0.179,0,38.5,19.5,13.5,7.5,0.5,0.609,0.693
 PH,0,20,40,50,12,1.5,4,0.3,11.7,4,0.38,80,60,20,1,0.204,0.082,0.041,0,0,10.5,4.5,2.5,0.5,0.5,0.255,0.233
 SC,270,20,40,30,10,1.5,1,0.3,9.7,3,0.2115,80,60,20,1,0.379,0.069,0,0,0,11.5,2.5,0.5,0.5,0.5,0.329,0.36
 PH,270,0,40,30,12,1.5,4,0.3,11.7,4,0.38,80,60,20,1,1,0.517,0.31,0.138,0,29.5,15.5,9.5,4.5,0.5,0.656,0.709
 SC,180,20,40,30,9,1.5,4,2.5,8.7,3,0.344444444,80,60,20,1,1,0.828,0.586,0.345,0,29.5,24.5,17.5,10.5,0.5,0.79,0.845
 SC,90,20,40,30,12,1,3,2.5,11.7,4,0.2875,80,60,20,5,1,0.724,0.552,0.31,0,29.5,21.5,16.5,9.5,0.5,0.752,0.809
 SC,180,20,40,50,10,0.5,4,0.3,9.7,4,0.376,80,60,20,5,0.49,0.347,0.265,0.163,0,24.5,17.5,13.5,8.5,0.5,0.479,0.512
 PH,180,20,40,50,12,1.5,4,2.5,11.7,3,0.383333333,80,60,20,5,0.959,0.531,0.408,0.224,0,47.5,26.5,20.5,11.5,0.5,0.658,0.799
 PH,180,40,40,40,9,1,3,2.5,8.7,2,0.361666667,80,60,20,1,0.821,0.462,0.359,0.231,0,32.5,18.5,14.5,9.5,0.5,0.606,0.732
 SC,90,20,40,40,12,1,1,0.3,11.7,2,0.30875,80,60,20,1,0.59,0.359,0.256,0.051,0,23.5,14.5,10.5,2.5,0.5,0.516,0.585
 PH,180,40,40,40,9,1,4,2.5,8.7,4,0.275555556,80,60,20,5,0.692,0.436,0.333,0.205,0,27.5,17.5,13.5,8.5,0.5,0.571,0.671
 PH,180,20,40,30,10,1,2,2.5,9.7,1,0.432,80,60,20,5,1,1,0.621,0.379,0,29.5,29.5,18.5,11.5,0.5,0.853,0.926
 PH,270,40,40,50,10,1.5,4,0.3,9.7,4,0.376,80,60,20,5,0.633,0.408,0.306,0.163,0,31.5,20.5,15.5,8.5,0.5,0.507,0.558
 SC,90,0,40,50,12,0.5,1,2.5,11.7,2,0.249166667,80,60,20,5,0.551,0.347,0.245,0.102,0,27.5,17.5,12.5,5.5,0.5,0.455,0.498
 PH,90,0,40,50,10,1.5,2,0.3,9.7,1,0.564,80,60,20,1,0.592,0.327,0.224,0.082,0,29.5,16.5,11.5,4.5,0.5,0.411,0.494
 PH,90,40,40,30,12,1,4,0.3,11.7,4,0.38,80,60,20,5,1,1,0.759,0.448,0,29.5,29.5,22.5,13.5,0.5,0.836,0.812
 SC,180,40,40,40,9,0.5,3,0.3,8.7,3,0.42,80,60,20,5,0.513,0.308,0.205,0.128,0,20.5,12.5,8.5,5.5,0.5,0.461,0.523
 PH,0,0,40,30,9,0.5,2,0.3,8.7,2,0.42,80,60,20,1,1,1,0.724,0.483,0,29.5,29.5,21.5,14.5,0.5,0.754,0.715
 SC,90,40,40,30,9,0.5,3,0.3,8.7,1,0.63,80,60,20,5,0.862,0.483,0.345,0.241,0,25.5,14.5,10.5,7.5,0.5,0.639,0.673
 SC,90,20,40,40,12,1,4,0.3,11.7,1,0.665,80,60,20,1,1,0.744,0.59,0.436,0.051,39.5,29.5,23.5,17.5,2.5,0.783,0.725
 PH,0,40,40,50,9,1,1,2.5,8.7,2,0.223888889,80,60,20,5,0.122,0.02,0,0,0,6.5,1.5,0.5,0.5,0.5,0.162,0.15
 PH,270,0,40,50,12,0.5,1,2.5,11.7,1,0.364166667,80,60,20,5,0.612,0.388,0.265,0.143,0,30.5,19.5,13.5,7.5,0.5,0.494,0.564
 PH,270,20,40,50,10,1.5,1,2.5,9.7,4,0.126,80,60,20,1,0.224,0,0,0,0,11.5,0.5,0.5,0.5,0.5,0.198,0.195
 PH,270,40,40,30,12,1.5,2,2.5,11.7,4,0.23,80,60,20,5,1,0.552,0.345,0.138,0,29.5,16.5,10.5,4.5,0.5,0.623,0.724
 SC,180,40,40,50,12,0.5,1,2.5,11.7,2,0.249166667,80,60,20,1,0.429,0.245,0.163,0.041,0,21.5,12.5,8.5,2.5,0.5,0.389,0.407
 PH,0,0,40,50,12,1.5,4,2.5,11.7,2,0.46,80,60,20,5,1,0.673,0.531,0.367,0.02,49.5,33.5,26.5,18.5,1.5,0.696,0.698
 PH,0,40,40,40,10,1.5,3,2.5,9.7,3,0.324,80,60,20,1,0.333,0.205,0.128,0.051,0,13.5,8.5,5.5,2.5,0.5,0.348,0.349
 SC,270,0,40,40,12,1.5,1,2.5,11.7,4,0.134166667,80,60,20,1,0.205,0,0,0,0,8.5,0.5,0.5,0.5,0.5,0.237,0.23
 SC,90,20,40,40,12,0.5,2,0.3,11.7,4,0.285,80,60,20,5,0.718,0.462,0.385,0.231,0,28.5,18.5,15.5,9.5,0.5,0.603,0.657
 SC,0,0,40,50,10,1.5,1,2.5,9.7,3,0.162,80,60,20,5,0.163,0,0,0,0,8.5,0.5,0.5,0.5,0.5,0.166,0.158
 SC,180,0,40,50,10,0.5,2,0.3,9.7,3,0.329,80,60,20,5,0.49,0.327,0.224,0.102,0,24.5,16.5,11.5,5.5,0.5,0.454,0.476
 PH,90,40,40,40,12,0.5,2,0.3,11.7,2,0.4275,80,60,20,1,1,0.667,0.487,0.333,0,39.5,26.5,19.5,13.5,0.5,0.711,0.789
 PH,90,40,40,40,12,0.5,3,2.5,11.7,4,0.2875,80,60,20,5,0.897,0.564,0.41,0.256,0,35.5,22.5,16.5,10.5,0.5,0.647,0.737
 PH,270,0,40,40,10,1.5,1,2.5,9.7,1,0.342,80,60,20,1,0.41,0.205,0.051,0,0,16.5,8.5,2.5,0.5,0.5,0.375,0.424
 PH,0,20,40,50,12,1.5,3,0.3,11.7,3,0.4275,80,60,20,5,0.551,0.347,0.265,0.143,0,27.5,17.5,13.5,7.5,0.5,0.524,0.572
 SC,0,0,40,30,12,1,4,0.3,11.7,2,0.57,80,60,20,5,1,1,1,0.552,0,29.5,29.5,29.5,16.5,0.5,0.774,0.699
