in:location,in:Orientation,in:ObstructAngle,in:Width,in:Depth,in:Ceiling Height,in:Wall Thickness,in:Window Width,in:Window Bottom Sill,in:Window Top Sill,in:Spacing Between Windows,in:WWR,in:Ceiling Reflectance,in:Wall Reflectance,in:Floor Reflectance,in:Shade Trigger Distance (1000 direct),out:sDA300
 PH,270,40,40,50,9,0.5,3,2.5,8.7,3,0.31,80,60,20,5,0.204
 SC,270,0,40,50,12,1,2,0.3,11.7,2,0.4275,80,60,20,1,0.306
 PH,0,0,40,30,9,1.5,4,2.5,8.7,2,0.413333333,80,60,20,1,0.103
 PH,90,20,40,40,12,1.5,2,0.3,11.7,1,0.57,80,60,20,1,0.641
 SC,270,20,40,30,10,0.5,4,0.3,9.7,3,0.47,80,60,20,1,0.552
 PH,0,20,40,30,12,0.5,2,0.3,11.7,1,0.57,80,60,20,1,0.345
 SC,0,40,40,40,9,1.5,1,0.3,8.7,4,0.163333333,80,60,20,5,0
 SC,0,40,40,40,9,0.5,3,2.5,8.7,3,0.31,80,60,20,5,0.154
 SC,180,40,40,30,10,0.5,1,2.5,9.7,3,0.162,80,60,20,5,0
 PH,180,0,40,40,10,1.5,1,2.5,9.7,3,0.162,80,60,20,5,0
 SC,0,0,40,40,10,1,3,0.3,9.7,4,0.3525,80,60,20,5,0.231
 SC,270,20,40,30,9,1,3,2.5,8.7,3,0.31,80,60,20,1,0.379
 PH,0,40,40,40,10,1.5,4,2.5,9.7,2,0.432,80,60,20,5,0.359
 PH,270,40,40,30,12,1,3,2.5,11.7,3,0.345,80,60,20,5,0.483
 SC,180,40,40,50,10,1.5,3,0.3,9.7,1,0.6345,80,60,20,5,0.224
 SC,90,20,40,40,9,1.5,4,2.5,8.7,1,0.482222222,80,60,20,1,0.359
 PH,270,40,40,40,9,1.5,4,0.3,8.7,4,0.373333333,80,60,20,1,0.282
 SC,180,0,40,40,10,0.5,1,0.3,9.7,4,0.1645,80,60,20,5,0
 PH,180,40,40,40,10,0.5,3,2.5,9.7,2,0.378,80,60,20,1,0.462
 SC,90,20,40,50,9,1,1,0.3,8.7,2,0.303333333,80,60,20,1,0.102
 SC,180,0,40,40,10,1.5,1,2.5,9.7,1,0.342,80,60,20,1,0.128
 PH,90,40,40,40,10,0.5,3,0.3,9.7,4,0.3525,80,60,20,5,0.359
 SC,90,0,40,30,9,1,2,2.5,8.7,1,0.413333333,80,60,20,1,0.483
 SC,270,20,40,30,9,1,1,2.5,8.7,4,0.120555556,80,60,20,5,0
 PH,180,20,40,50,12,1.5,2,0.3,11.7,4,0.285,80,60,20,1,0.184
 SC,180,20,40,30,12,1.5,3,0.3,11.7,4,0.35625,80,60,20,1,0.414
 PH,90,40,40,50,9,0.5,3,0.3,8.7,4,0.35,80,60,20,5,0.245
 SC,90,20,40,50,9,1.5,1,0.3,8.7,1,0.443333333,80,60,20,5,0.143
 SC,90,20,40,40,9,1,2,2.5,8.7,3,0.241111111,80,60,20,5,0.231
 SC,90,40,40,50,10,1.5,4,2.5,9.7,2,0.432,80,60,20,1,0.204
